Animal Type,Sex,Intake Condition,Intake Type,Intake_Month,Season,Age_Months,Color_Simple,is_adopted
DOG,Male,NORMAL,STRAY,3,Spring,24.3,BLUE,0
DOG,Female,NORMAL,STRAY,2,Winter,10.2,BLACK,0
CAT,Spayed,INJURED  MODERATE,STRAY,6,Summer,1.5,GRAY,1
DOG,Male,INJURED  SEVERE,STRAY,4,Spring,60.9,WHITE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.7,ORANGE,0
CAT,Neutered,NORMAL,STRAY,2,Winter,1.0,GRAY TABBY,0
CAT,Unknown,ILL MODERATETE,STRAY,11,Fall,36.5,ORG TABBY,0
DOG,Female,NORMAL,STRAY,10,Fall,12.2,TAN,0
DOG,Female,NORMAL,STRAY,6,Summer,48.7,WHITE,0
CAT,Neutered,NORMAL,STRAY,7,Summer,2.0,ORG TABBY,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,7,Summer,2.0,GRAY TABBY,0
CAT,Spayed,ILL MODERATETE,STRAY,11,Fall,41.4,WHITE,0
DOG,Female,NORMAL,OWNER SURRENDER,7,Summer,24.3,BLACK,0
DOG,Male,NORMAL,OWNER SURRENDER,7,Summer,6.0,WHITE,0
CAT,Female,NORMAL,STRAY,6,Summer,3.1,GRAY TABBY,0
DOG,Male,NORMAL,STRAY,4,Spring,36.5,WHITE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,4,Spring,0.5,GRAY TABBY,0
DOG,Female,NORMAL,STRAY,1,Winter,12.2,WHITE,1
CAT,Neutered,ILL MODERATETE,STRAY,11,Fall,1.0,GRAY TABBY,1
DOG,Spayed,NORMAL,STRAY,2,Winter,24.3,CREAM,1
DOG,Neutered,NORMAL,RETURN,10,Fall,53.6,BLACK,1
DOG,Male,NORMAL,STRAY,12,Winter,36.5,WHITE,0
CAT,Spayed,INJURED  MILD,STRAY,1,Winter,24.4,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,7,Summer,1.5,GRAY,0
CAT,Neutered,ILL MODERATETE,STRAY,2,Winter,73.1,GRAY,0
DOG,Female,ILL SEVERE,OWNER SURRENDER,4,Spring,5.0,BLACK,0
CAT,Male,NORMAL,STRAY,9,Fall,6.1,GRAY TABBY,0
DOG,Neutered,NORMAL,STRAY,1,Winter,78.8,RED,1
DOG,Spayed,NORMAL,STRAY,8,Summer,94.7,TAN,0
CAT,Female,INJURED  MODERATE,STRAY,7,Summer,97.4,GRAY,0
DOG,Male,NORMAL,STRAY,7,Summer,146.1,BLACK,0
DOG,Spayed,NORMAL,STRAY,8,Summer,12.2,BLACK,1
DOG,Male,INJURED  MILD,STRAY,9,Fall,47.1,WHITE,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,6,Summer,1.2,CALICO,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,1.2,WHITE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.2,WHITE,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,6,Summer,1.2,CALICO,0
DOG,Female,NORMAL,STRAY,10,Fall,10.1,TAN,0
DOG,Male,NORMAL,STRAY,12,Winter,12.2,BR BRINDLE,0
DOG,Male,NORMAL,STRAY,4,Spring,24.4,TRICOLOR,0
DOG,Neutered,NORMAL,STRAY,1,Winter,24.3,BROWN,0
DOG,Spayed,NORMAL,STRAY,7,Summer,36.5,WHITE,1
DOG,Neutered,NORMAL,OWNER SURRENDER,5,Spring,36.5,BLUE,1
CAT,Spayed,ILL MODERATETE,RETURN,10,Fall,61.1,WHITE,0
CAT,Female,INJURED  SEVERE,STRAY,6,Summer,24.3,WHITE,0
DOG,Neutered,I/I REPORT,STRAY,5,Spring,12.2,WHITE,1
CAT,Unknown,NORMAL,STRAY,12,Winter,5.1,BLACK,0
DOG,Neutered,NORMAL,STRAY,3,Spring,37.5,BROWN,1
CAT,Male,NORMAL,OWNER SURRENDER,2,Winter,7.2,BRN TABBY,0
DOG,Unknown,ILL MILD,STRAY,7,Summer,36.5,BROWN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,7,Summer,0.2,WHITE,0
DOG,Neutered,NORMAL,STRAY,7,Summer,16.2,RED,0
CAT,Neutered,INJURED  MODERATE,STRAY,9,Fall,48.7,GRAY,1
DOG,Neutered,NORMAL,STRAY,5,Spring,24.3,BLACK,1
DOG,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,0.2,GRAY,0
DOG,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,0.2,GRAY,0
DOG,Neutered,NORMAL,STRAY,11,Fall,24.4,BLACK,1
DOG,Spayed,I/I REPORT,STRAY,5,Spring,12.2,BLACK,1
CAT,Neutered,NORMAL,OWNER SURRENDER,5,Spring,97.4,BLACK,1
CAT,Female,FRACTIOUS,STRAY,7,Summer,2.0,BLACK,0
DOG,Male,NORMAL,STRAY,12,Winter,12.2,WHITE,0
DOG,Neutered,FRACTIOUS,STRAY,2,Winter,12.2,BLACK,0
DOG,Spayed,NORMAL,STRAY,2,Winter,36.5,BLACK,0
DOG,Neutered,NORMAL,STRAY,6,Summer,126.7,TAN,0
DOG,Spayed,NORMAL,WELFARE SEIZED,2,Winter,158.3,WHITE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,1.3,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,158.2,CREAM,0
CAT,Female,ILL MILD,STRAY,5,Spring,1.0,GRAY TABBY,0
DOG,Neutered,NORMAL,STRAY,4,Spring,36.5,BROWN,1
CAT,Male,INJURED  SEVERE,STRAY,2,Winter,85.2,TORTIE,0
DOG,Female,NORMAL,STRAY,9,Fall,12.2,GRAY,0
DOG,Spayed,NORMAL,STRAY,4,Spring,4.1,BR BRINDLE,1
DOG,Neutered,NORMAL,STRAY,3,Spring,6.0,TAN,1
DOG,Spayed,NORMAL,STRAY,4,Spring,21.3,BR BRINDLE,1
CAT,Neutered,INJURED  MILD,STRAY,5,Spring,58.9,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,1.0,BLACK,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,5,Spring,0.6,BLACK,1
DOG,Male,AGED,STRAY,1,Winter,121.8,BLACK,1
DOG,Neutered,NORMAL,STRAY,8,Summer,18.2,BROWN,0
DOG,Spayed,ILL MODERATETE,STRAY,6,Summer,97.4,BROWN,1
CAT,Male,ILL MODERATETE,STRAY,10,Fall,1.4,GRAY TABBY,0
CAT,Male,ILL MODERATETE,STRAY,6,Summer,2.0,BRN TABBY,0
CAT,Male,ILL SEVERE,WILDLIFE,4,Spring,97.4,BRN TABBY,0
CAT,Spayed,NORMAL,STRAY,12,Winter,36.5,BRN TABBY,0
CAT,Spayed,NORMAL,STRAY,5,Spring,2.9,BLACK,1
CAT,Male,INJURED  SEVERE,STRAY,3,Spring,36.5,GRAY TABBY,0
CAT,Spayed,NORMAL,STRAY,5,Spring,24.3,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,0.1,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,0.1,BRN TABBY,0
DOG,Neutered,NORMAL,STRAY,6,Summer,24.3,GRAY,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,1.0,BRN TABBY,0
DOG,Female,NORMAL,STRAY,2,Winter,36.5,TAN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.0,BLACK,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,0.0,BLACK,0
CAT,Neutered,INJURED  SEVERE,STRAY,5,Spring,36.5,BRN TABBY,1
DOG,Neutered,NORMAL,STRAY,6,Summer,12.2,TAN,1
CAT,Neutered,FERAL,STRAY,2,Winter,48.7,BRN TABBY,0
DOG,Male,NORMAL,STRAY,10,Fall,24.3,WHITE,0
DOG,Spayed,ILL MODERATETE,STRAY,10,Fall,231.7,BLACK,0
DOG,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,GRAY,0
DOG,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,GRAY,0
DOG,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,GRAY,0
